# Artosyn 9311 air unit: CGU state read from a STREAMING stock slot A, 2026-07-28.
# Source: live read, cross-checked against the 66 writes in out/au-mmiotrace/cgu-rw.log.
# Our CGU prologue sets only the first three. Everything below the blank line is
# clock and reset configuration the open stack has never programmed.
0x0a10400c 13001300
0x0a104010 02001300
0x0a104020 10001103

0x0a104018 04011300
0x0a10401c 02011201
0x0a104044 01001000
0x0a102004 f7ffffdf
0x0a102008 00000000
0x0a102014 e7ffdfff
0x0a102018 00000000
0x0a102028 00000000
0x0a106008 88922000
0x0a106200 88922000
0x0a106204 00a05f5f
0x0a106208 00005b5b
0x0a108098 0000002c
0x0a108410 07684bda
